Index;Unit;Question_Number;Type_of_Question;Question;Answer;Distractor1;Distractor2;Distractor3
119;12. Binary data;8;True or False;All processes, regardless of their type, are converted into binary form before execution.;TRUE;;;
120;12. Binary data;9;Multiple choice;Binary is a;Base 2 system;Base 8 system;Base 16 system;Base 10 system
121;12. Binary data;10;Multiple choice;Why do computers use binary;Computers use electronic switches and circuits to store data, it is quick to read the voltage in a circuit as on or off.;It is easy to convert binary into hex.;It is easy to count from 0 to 1.;Because that is the way it has always been done.
122;13. Logic gates AND, OR, NOT;1;True or False;A truth table lists every possible combination of input and the resulting output;TRUE;;;
123;13. Logic gates AND, OR, NOT;2;Text and Image multiple choice;Which symbol is an AND gate?;;;;
124;13. Logic gates AND, OR, NOT;3;Text and Image multiple choice;Which symbol is a NOT gate?;;;;
125;13. Logic gates AND, OR, NOT;4;Text and Image multiple choice;Which symbol is an OR gate?;;;;
126;13. Logic gates AND, OR, NOT;5;True or False;The logic in used in computer systems is called Boolean logic because there are only 3 possible values.;FALSE;;;
127;13. Logic gates AND, OR, NOT;6;Multiple choice;A AND B = Q, If A=1 and B=1 what does Q equal?;1;0;2;
128;13. Logic gates AND, OR, NOT;7;Multiple choice;NOT A = Q, if A equals 1 what does Q equal?;0;1;;
129;13. Logic gates AND, OR, NOT;8;Multiple choice;(NOT A) AND B = Q, If A=0 and B = 1, what does Q equal?;1;0;;
130;13. Logic gates AND, OR, NOT;9;Multiple choice;NOT(A OR B) = Q, if A=0 and B=0, what does Q equal?;1;0;;
131;13. Logic gates AND, OR, NOT;10;Multiple choice;(C AND D) OR (NOT(A OR B)) = Q, If A=1, B=1, C=0 and D=1, what does Q equal?;0;1;;
132;14. Truth tables;1;True or False;A truth table lists every possible combination of input and the resulting output;TRUE;;;
133;14. Truth tables;2;Text and Image multiple choice;Click on the truth table for the AND gate;;;;
134;14. Truth tables;3;Text and Image multiple choice;Click on the truth table for the OR gate;;;;
135;14. Truth tables;4;Text and Image multiple choice;Click on the truth table for the NOT gate;;;;
136;14. Truth tables;5;Text and Image multiple choice;Using the gate, if A=1 and B=0 what is Q?;1;0;;
137;14. Truth tables;6;Text and Image multiple choice;Using the gate, if A=1 and B=0 what is Q?;0;1;;
138;14. Truth tables;7;Text and Image multiple choice;Fill in the missing number for a NOT gate;0;1;2;4
139;14. Truth tables;8;Text and Image multiple choice;Fill in the missing number;1;0;2;4
140;14. Truth tables;9;Text and Image multiple choice;Using the gate, if A=1 what is Q?;0;1;;
141;14. Truth tables;10;Text and Image multiple choice;Fill in the missing number;1;0;2;4
142;15. The difference between RAM and ROM;1;True or False;ROM is volatile;FALSE;;;
143;15. The difference between RAM and ROM;2;True or False;RAM is volatile;TRUE;;;
144;15. The difference between RAM and ROM;3;True or False;ROM stores start up instructions such as the bootstrap loader;TRUE;;;
145;15. The difference between RAM and ROM;4;True or False;ROM is not generally written to;TRUE;;;
146;15. The difference between RAM and ROM;5;True or False;The RAM contains the program used to start up the computer;FALSE;;;
147;15. The difference between RAM and ROM;6;Multiple choice;Which one is typically smaller in terms of data capacity?;ROM;RAM;;
148;15. The difference between RAM and ROM;7;Multiple choice;What does the RAM store?;Operating system, programs and data which are currently being used;A program used to start the computer called the ‘boot program’ or BIOS;All programs and documents stored on the computer;
149;15. The difference between RAM and ROM;8;True or False;The term 'volatile' refers to how likely a piece of equipment is to fail;FALSE;;;
150;15. The difference between RAM and ROM;9;True or False;More RAM is better because this means that the computer can run less programs at the same time.;FALSE;;;
151;15. The difference between RAM and ROM;10;True or False;It is better to have more ROM because the computer will boot up quicker.;FALSE;;;
152;16. The need for ROM;1;True or False;Without ROM, the computer would not boot up.;TRUE;;;
153;16. The need for ROM;2;True or False;The ROM stores the operating system;FALSE;;;
154;16. The need for ROM;3;True or False;The ROM provides instructions to the CPU to say how hardware should be initialised and how the boot loader is executed.;TRUE;;;
155;16. The need for ROM;4;Multiple choice;What does the ROM store on it;Boot-up instructions;Word documents;The operating system;Game save points
156;16. The need for ROM;5;Multiple choice;The term boot is short for;bootstrap loader;bootable pratition;robots;booting up the mainframe
157;16. The need for ROM;6;True or False;The amount of ROM installed needs to be at least 2GB for the computer to work;FALSE;;;
158;16. The need for ROM;7;True or False;ROM retains data even with the power switched off;TRUE;;;
159;16. The need for ROM;8;Multiple choice;The ROM chip is directly attached to which item inside the computer?;The motherboard;A harddrive;The CPU;A floppy disk drive
160;16. The need for ROM;9;True or False;When the computer switches off, all of the data stored on it is erased;FALSE;;;
161;16. The need for ROM;10;True or False;When you turn on your computer the first thing you tend to see is the BIOS, this displays information like the amount of memory installed on your computer and the type of hard disk you have etc.;TRUE;;;
162;17. The need for RAM;1;Multiple choice;When the computer has been switched on for more than 10 minutes, which one does the RAM not store;Bootup instructions;The operating system ;The programs currently being used;The data currently being used
163;17. The need for RAM;2;True or False;RAM is a type of primary memory;TRUE;;;
164;17. The need for RAM;3;True or False;Getting data from the hard drive is slower than getting it from the RAM;TRUE;;;
165;17. The need for RAM;4;True or False;When the computer is switched off, all the data is transferred from the RAM to the ROM;FALSE;;;
166;17. The need for RAM;5;True or False;If you run out of space in RAM, you can use virtual memory;TRUE;;;
167;17. The need for RAM;6;Multiple choice;SRAM stands for;Static random access memory;Standard random access memory;Stationary random access memory;Satisfactory random access memory
168;17. The need for RAM;7;Multiple choice;DRAM stands for;Dynamic random access memory;reDundant random access memory;Durable random access memory;Data random access memory
169;17. The need for RAM;8;True or False;Serial Access Memory (SAM) is the opposite of Random Access Memory (RAM);TRUE;;;
170;17. The need for RAM;9;Multiple choice;The most common form of RAM is;Dynamic RAM;Static RAM;Video RAM;CPU RAM
171;17. The need for RAM;10;Multiple choice;What material is RAM made out of;Silicon;Copper;Plastic;Glass
172;18. How RAM affects performance;1;True or False;More memory usually means that the computer is faster;TRUE;;;
173;18. How RAM affects performance;2;True or False;When the computer is switched on, the RAM stores the operating system;TRUE;;;
174;18. How RAM affects performance;3;Multiple choice;If the RAM is upgraded from 512MB to 4GB, what will be the biggest benefit?;More programs and data can be opened at the same time;The operating system will be faster;There will be more hard drive space;The computer will be quicker if you open a document
175;18. How RAM affects performance;4;True or False;Modern computers need at least 16 GB of RAM;FALSE;;;
176;18. How RAM affects performance;5;Multiple choice;Which RAM is faster;Static RAM;Dynamic RAM;;
177;18. How RAM affects performance;6;Multiple choice;RAM is usually sold in multiples of how many megabytes;16;7;10;15
178;18. How RAM affects performance;7;True or False;The more RAM you have, the more organised your hard drive documents will be;FALSE;;;
179;18. How RAM affects performance;8;True or False;If you have 1 RAM module which is 8GB, it is faster than 2 4GB modules.;FALSE;;;
180;18. How RAM affects performance;9;True or False;RAM speed is measured in GB;FALSE;;;
181;18. How RAM affects performance;10;True or False;Having more RAM will increase performance in all situations;FALSE;;;
182;19. The need for virtual memory;1;Multiple choice;Virtual memory is;a memory management technique;a virus checking utility;a piece of hardware;an series of pixels used to represent an image
183;19. The need for virtual memory;2;Multiple choice;Virtual memory typically uses two storage devices, RAM and ______________.;the hard drive;ROM;a secondary piece of RAM;a CD-ROM
184;19. The need for virtual memory;3;Multiple choice;Virtual memory is used;when the RAM is not enough to contain all of the programs and data currently being used;every other time a program is used;as a secondary storage medium for long term storage of documents;when the CPU is getting overheated
185;19. The need for virtual memory;4;True or False;A program stored in virtual memory may run slower than a program stored on the RAM;TRUE;;;
186;19. The need for virtual memory;5;True or False;The computer can take programs out of the RAM and store them in virtual memory, this frees up the RAM to be used to open more programs.;TRUE;;;
187;19. The need for virtual memory;6;True or False;A program needs to be stored on the RAM before it can be used.;TRUE;;;
188;19. The need for virtual memory;7;True or False;Hard drives have faster access times than RAM;FALSE;;;
189;19. The need for virtual memory;8;True or False;If a program is stored in virtual memory, it needs to be put back onto the RAM before it can be used again.;TRUE;;;
190;19. The need for virtual memory;9;True or False;The more programs you have open, the less RAM and virtual memory will be needed.;FALSE;;;
191;19. The need for virtual memory;10;True or False;Virtual memory makes use of secondary storage as if it were main memory.;TRUE;;;
192;20. Cache memory;1;Multiple choice;CPU Cache is located on;The CPU;The RAM;The hard drive;The motherboard
193;20. Cache memory;2;True or False;Cache is used to make the computer faster;TRUE;;;
194;20. Cache memory;3;Multiple choice;Cache memory acts as a buffer between the processor and;the RAM;the harddrive;the motherboard;the user
195;20. Cache memory;4;Multiple choice;When the processor fetches data from the RAM, it is first copied onto the;cache memory, and then from the cache memory into the main processor;RAM, and then from the RAM into the main processor;CPU, and then from the CPU into the RAM;cache memory, and then from the cache memory into the RAM
196;20. Cache memory;5;Multiple choice;Which transfer is faster;data between the cache and the CPU;data between the RAM and cache;data between the RAM and CPU;data between the hard drive and CPU
197;20. Cache memory;6;True or False;Before the processor fetches data from the RAM, it will check if it is stored on the cache first.;TRUE;;;
198;20. Cache memory;7;True or False;The larger the cache, the slower the CPU will fetch instructions;FALSE;;;
199;20. Cache memory;8;True or False;A CPU cache is the same as a website cache;FALSE;;;
200;20. Cache memory;9;True or False;A cache is used to reduce average times to access memory;TRUE;;;
201;20. Cache memory;10;True or False;Cache memory generally has (at least) two different levels, level 1 is the fastest.;TRUE;;;
202;21. Flash memory and changes in memory technologies;1;True or False;Over time, memory has become cheaper to produce.;TRUE;;;
203;21. Flash memory and changes in memory technologies;2;Multiple choice;Which of these statements is true;Mobile phones are much smaller than they were 15 years ago;Mobile phones use much less power than mobile phones 15 years ago;PCs are much larger than they were 15 years ago.;PCs have much less RAM than 15 years ago
204;21. Flash memory and changes in memory technologies;3;True or False;Many devices have faster read/write times than 10 years ago;TRUE;;;
205;21. Flash memory and changes in memory technologies;4;True or False;Modern computers have a lot more storage capacity than ones 5 years ago.;TRUE;;;
206;21. Flash memory and changes in memory technologies;5;True or False;The cost of RAM and hard drives has fallen so modern computers have more of it;TRUE;;;
207;21. Flash memory and changes in memory technologies;6;True or False;8 years ago, it was common to buy a 128 Mb USB memory card.;TRUE;;;
208;21. Flash memory and changes in memory technologies;7;True or False;15 years ago, students carried around floppy disks to store their data on;TRUE;;;
209;21. Flash memory and changes in memory technologies;8;True or False;Some modern computers have solid state hard drives instead of magnetic ones, this allows for the computer to boot up faster;TRUE;;;
210;21. Flash memory and changes in memory technologies;9;True or False;Moore's law is an observation that over the history of computing, the number of transistors on integrated circuits doubles approximately every two years. This theory means that the overall processing power of computers will double every two years.;TRUE;;;
211;21. Flash memory and changes in memory technologies;10;Multiple choice;Which one of these statements is true;Over the next two years, SSD cards should get cheaper;Over the next two years, SSD cards should get more expensive;Over the next two years, magnetic hard drives should get more expensive;Over the next two years, USB memory sticks should get more expensive
212;22. The need for input and output devices;1;Multiple choice;What is the purpose of a microphone;to record/transmit audio data;to record/transmit text data;to record/transmit infrared data;to play audio data
213;22. The need for input and output devices;2;Multiple choice;What is the purpose of a scanner;to convert images or text on paper to a digital format;to record audio data;to print paper copies of files;to play audio data
214;22. The need for input and output devices;3;True or False;A touchpad and a touchscreen are the same thing;FALSE;;;
215;22. The need for input and output devices;4;True or False;If you are an artist, it is easier to draw images using a graphics tablet;TRUE;;;
216;22. The need for input and output devices;5;True or False;Graphics tables are much more expensive than a typical laser mouse;TRUE;;;
217;22. The need for input and output devices;6;True or False;Excessive use of any input or output devices can lead to health problems such as RSI;TRUE;;;
218;22. The need for input and output devices;7;Multiple choice;Which one of these is an automatic input device?;Optical Mark Recognition;Mouse;Keyboard;Scanner
219;22. The need for input and output devices;8;True or False;A webcam is vital if you want to watch videos on youtube;FALSE;;;
220;22. The need for input and output devices;9;Multiple choice;A device which records facial recognition or fingerprints is what type of system;Biometric;Future technology;AI;Skynet
221;22. The need for input and output devices;10;Multiple choice;What type of device is used to detect physical changes in things such as light, temperature or object proximity.;Sensors;Magnets;Mice;Cameras
222;23. Input and output devices for a range of situations;1;Multiple choice;Which input device gives a better gaming experience for racing or flying games?;A joystick;A keyboard;A scanner;A webcam
223;23. Input and output devices for a range of situations;2;Multiple choice;Which input device is more suitable for obtaining a copy of a printed document?;A scanner;A webcam;A keyboard;A mouse
224;23. Input and output devices for a range of situations;3;Multiple choice;Which device is both and input and an output device;A touchscreen;A scanner;A keyboard;A light
225;23. Input and output devices for a range of situations;4;Multiple choice;Which input device is most suitable for recording someone singing?;A microphone;A touchpad;A mouse;A barcode reader
226;23. Input and output devices for a range of situations;5;Multiple choice;OCR stands for;Optical Character Recognition;Optical Character Reader;Optimised Character Reader;One Clear Reader
227;23. Input and output devices for a range of situations;6;Multiple choice;Which output device gives you a hardcopy of a document?;A printer;Speakers;A monitor;A projector
228;23. Input and output devices for a range of situations;7;Multiple choice;Which one of these is an output device;A monitor;A keyboard;A mouse;A microphone
229;23. Input and output devices for a range of situations;8;Multiple choice;Which one of these can project images onto a wall;A projector;A monitor;A printer;Speakers
230;23. Input and output devices for a range of situations;9;Multiple choice;Which one of these output devices is more suitable for a blind person to use;Speakers;A projector;Lights ;A monitor
231;23. Input and output devices for a range of situations;10;Multiple choice;Which one of these devices is more suitable to use as an output in a loud environment;A monitor;Speakers;;
232;24. Input and output devices for specific needs;1;True or False;The Disability Discrimination act means that there should be equal opportunities for disabled people in relation to technology, including access to websites.;TRUE;;;
233;24. Input and output devices for specific needs;2;True or False;example: Grass is green;TRUE;;;
234;24. Input and output devices for specific needs;3;Multiple choice;Which one of these is the most suitable for a blind user using a rail ticket machine;Voice recognition;barcode scanner;a keyboard;a mouse
235;24. Input and output devices for specific needs;4;Multiple choice;Which one of these is the most suitable for a blind user, using a rail ticket machine, to receive their ticket;A braille Printer;A laser printer;A plotter;A light
236;24. Input and output devices for specific needs;5;Multiple choice;Which one of these is the most suitable for a blind user using a rail ticket machine, to receive instructions;A speaker;A light;On-screen instructions;A video tutorial
237;24. Input and output devices for specific needs;6;Multiple choice;A screen magnifier can be used to;make information on a screen larger;read out information on the screen;print something out in braille;move a pointer on a screen
238;24. Input and output devices for specific needs;7;Multiple choice;An eye typer can be used to;track a users eye movements and record the movements as input ;lets the user log onto a website using their eye as biometric identification;print something out in braille;enlarge information on a screen
239;24. Input and output devices for specific needs;8;Multiple choice;Braille keyboards and printers use a system where;characters are represented by patterns of raised dots that are felt with the persons fingertips;information is enlarged on a screen;information is read out via a speaker;a pointer is moved about on a screen
240;24. Input and output devices for specific needs;9;Multiple choice;Predictive text is where;a user can tap letters on a keyboard and a word is suggested, so instead of typing out the whole word the computer suggests the word you are trying to type;a computer can write word documents on its own;text is read out via a speaker;text is enlarged on a screen
241;24. Input and output devices for specific needs;10;True or False;Microphones can be used by visually impaired people to read out information on a screen;FALSE;;;
242;25. Secondary storage;1;True or False;You can purchase a USB flash drive which can store 2PB of data.;FALSE;;;
243;25. Secondary storage;2;True or False;USB flash drives use solid state memory.;TRUE;;;
244;25. Secondary storage;3;True or False;Solid state hard drives are more suitable than magnetic hard drives for portable devices.;TRUE;;;
245;25. Secondary storage;4;True or False;CDs store more data than floppy drives.;TRUE;;;
246;25. Secondary storage;5;True or False;A CD-ROM is re-writable.;FALSE;;;
247;25. Secondary storage;6;True or False;Solid state hard drives have moving parts.;FALSE;;;
248;25. Secondary storage;7;Multiple choice;The term capacity refers to;the amount of data you can store on the device;how shiny the device is;how easily you can damage the device;the speed of the device
